studio,bom_domestic_gross,bom_foreign_gross,title_clean,release_date_x,tn_production_budget,profit,roi,runtime_minutes,genres,averagerating,numvotes,genre_ids,original_language,popularity,vote_average,vote_count,release_year,roi_abs,bom_worldwide_gross
Uni.,62000000.0,77800000.0,The Wolfman,2010-02-12,150000000.0,-7365642.0,-0.04910428,103.0,"['Drama', 'Fantasy', 'Horror']",5.8,97873,[27],En,14.03,5.7,1009.0,2010,0.04910428,139800000.0
Sony,67099999.0,69300000.0,The Bounty Hunter,2010-03-19,45000000.0,90808837.0,2.0179741555555557,110.0,"['Action', 'Comedy', 'Romance']",5.6,112444,"[28, 35, 18]",En,9.861,5.7,1627.0,2010,2.0179741555555557,136399999.0
Par.,93600000.0,35600000.0,The Fighter,2010-12-10,11000000.0,118262388.0,10.751126181818181,116.0,"['Biography', 'Drama', 'Sport']",7.8,316539,[18],En,10.395,7.3,2325.0,2010,10.751126181818181,129200000.0
Fox,52000000.0,75200000.0,Predators,2010-07-09,40000000.0,87234389.0,2.180859725,107.0,"['Action', 'Adventure', 'Sci-Fi']",6.4,199764,"[28, 878, 12, 53]",En,16.216,6.1,1979.0,2010,2.180859725,127200000.0
Sgem,80000000.0,35000000.0,Dear John,2010-02-05,25000000.0,117033509.0,4.68134036,108.0,"['Drama', 'Romance', 'War']",6.3,128657,"[18, 10749, 10752]",En,12.048,6.8,2676.0,2010,4.68134036,115000000.0
Wb,43600000.0,68900000.0,Cats & Dogs: The Revenge Of Kitty Galore,2010-07-30,85000000.0,28026383.0,0.32972215294117646,82.0,"['Action', 'Comedy', 'Family']",4.3,12642,"[35, 10751, 28, 14]",En,10.544,4.9,273.0,2010,0.32972215294117646,112500000.0
Fox,60000000.0,52400000.0,Tooth Fairy,2010-01-22,48000000.0,64610386.0,1.3460497083333334,101.0,"['Comedy', 'Family', 'Fantasy']",5.0,37939,"[35, 10751, 14]",En,12.65,5.3,1058.0,2010,1.3460497083333334,112400000.0
Wb,53400000.0,52300000.0,Life As We Know It,2010-10-08,38000000.0,67887837.0,1.7865220263157895,114.0,"['Comedy', 'Drama', 'Romance']",6.6,113077,"[35, 10749, 18]",En,11.806,6.8,1748.0,2010,1.7865220263157895,105700000.0
Wb,32700000.0,72500000.0,Hereafter,2010-10-15,50000000.0,58660270.0,1.1732054,129.0,"['Drama', 'Fantasy', 'Romance']",6.5,87288,"[18, 14]",En,7.886,5.9,848.0,2010,1.1732054,105200000.0
Mbox,10100000.0,94300000.0,The Girl With The Dragon Tattoo,2011-12-20,90000000.0,149373970.0,1.6597107777777778,158.0,"['Crime', 'Drama', 'Mystery']",7.8,387580,"[53, 80, 9648, 18]",En,17.823,7.3,3971.0,2011,1.6597107777777778,104400000.0
Lgf,47100000.0,51100000.0,Killers,2010-06-04,75000000.0,20572749.0,0.27430332,100.0,"['Action', 'Comedy', 'Romance']",5.4,82237,"[28, 35, 53, 10749]",En,10.221,5.8,1314.0,2010,0.27430332,98200000.0
Lgf,48100000.0,48100000.0,Kick-Ass,2010-04-16,28000000.0,69531134.0,2.4832547857142857,117.0,"['Action', 'Comedy']",7.6,497363,"[28, 80]",En,13.08,7.1,7540.0,2010,2.4832547857142857,96200000.0
Uni.,35100000.0,59800000.0,Green Zone,2010-03-12,100000000.0,-2476980.0,-0.0247698,115.0,"['Action', 'Drama', 'Thriller']",6.8,122132,"[10752, 28, 12, 18, 53]",En,11.519,6.4,1176.0,2010,0.0247698,94900000.0
Uni.,61000000.0,30300000.0,Get Him To The Greek,2010-06-04,40000000.0,51455875.0,1.286396875,109.0,"['Adventure', 'Comedy', 'Music']",6.4,161653,[35],En,8.485,5.9,980.0,2010,1.286396875,91300000.0
Sgem,39400000.0,50100000.0,Burlesque,2010-11-24,55000000.0,35552675.0,0.6464122727272728,119.0,"['Drama', 'Music', 'Musical']",6.4,71021,"[18, 10749]",En,8.676,7.1,1195.0,2010,0.6464122727272728,89500000.0
Bv,63000000.0,26100000.0,The Last Song,2010-03-31,20000000.0,72678948.0,3.6339474,107.0,"['Drama', 'Music', 'Romance']",6.0,74914,"[18, 10751, 10749]",En,9.237,7.2,2199.0,2010,3.6339474,89100000.0
P/Dw,73000000.0,13800000.0,Dinner For Schmucks,2010-07-30,69000000.0,17796502.0,0.2579203188405797,114.0,['Comedy'],5.9,91546,[35],En,6.632,5.6,920.0,2010,0.2579203188405797,86800000.0
Fox,33600000.0,50100000.0,Marmaduke,2010-06-04,50000000.0,39895930.0,0.7979186,87.0,"['Comedy', 'Family']",4.2,13283,"[10751, 35]",En,8.487,5.1,367.0,2010,0.7979186,83700000.0
W/Dim.,25000000.0,58200000.0,Piranha 3D,2010-08-20,24000000.0,59660160.0,2.48584,88.0,"['Comedy', 'Horror']",5.4,81327,"[35, 27]",En,11.302,5.3,1029.0,2010,2.48584,83200000.0
Wb,43300000.0,37800000.0,Edge Of Darkness,2010-01-29,60000000.0,22812456.0,0.3802076,117.0,"['Crime', 'Drama', 'Mystery']",6.6,84753,"[80, 18, 9648, 53]",En,11.252,6.3,794.0,2010,0.3802076,81100000.0
Wb,43300000.0,37800000.0,Edge Of Darkness,2010-01-29,60000000.0,22812456.0,0.3802076,117.0,"['Crime', 'Drama', 'Mystery']",6.6,84753,[99],En,0.6,7.0,1.0,2010,0.3802076,81100000.0
Fox,36700000.0,43900000.0,Vampires Suck,2010-08-18,20000000.0,61424988.0,3.0712494,82.0,['Comedy'],3.4,43984,"[35, 27]",En,8.992,4.1,658.0,2010,3.0712494,80600000.0
Sum.,53000000.0,26100000.0,Letters To Juliet,2010-05-14,30000000.0,52148538.0,1.7382846,105.0,"['Adventure', 'Comedy', 'Drama']",6.6,86137,"[35, 18, 10749]",En,9.394,6.9,1706.0,2010,1.7382846,79100000.0
Cbs,37500000.0,40000000.0,The Back-Up Plan,2010-04-23,35000000.0,40281179.0,1.1508908285714285,104.0,"['Comedy', 'Romance']",5.4,46128,"[35, 10749]",En,15.49,6.0,806.0,2010,1.1508908285714285,77500000.0
Fox,64000000.0,11700000.0,Diary Of A Wimpy Kid,2010-03-19,15000000.0,61954311.0,4.1302874,94.0,"['Comedy', 'Drama', 'Family']",6.2,38640,"[35, 10751]",En,12.256,6.0,736.0,2010,4.1302874,75700000.0
Sgem,58400000.0,16600000.0,Easy A,2010-09-17,8000000.0,68200721.0,8.525090125,92.0,"['Comedy', 'Drama', 'Romance']",7.1,330125,[35],En,14.69,6.8,4168.0,2010,8.525090125,75000000.0
